REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.345	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.365	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.354	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.361	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.352	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.351	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.355	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.374	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.377	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.375	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.380	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.379	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.374	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.396	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.378	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.387	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.398	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.381	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.381	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.393	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.406	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.411	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 1.979	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 2.199	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 2.395	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 2.632	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 2.845	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 2.946	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 2.920	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 2.889	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 3.079	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 3.214	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 3.340	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 3.301	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 3.345	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 3.418	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 3.500	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 3.566	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 3.694	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 3.681	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 3.738	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 3.765	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 3.801	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 3.860	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 3.866	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 3.881	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 3.960	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 4.031	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 4.018	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 4.075	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 4.100	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 4.110	 16000	wb
wavFiles_pad/4.wav	 tempDegrCBR.wav	 -1.000	 4.148	 16000	wb
